104.130.144.171, marketing.chipotle.com
104.130.251.211, btf.chipotle.com
104.130.251.33, traceability.chipotle.com
129.213.70.239, sftp.chipotle.com
13.111.233.59, cloud.email.chipotle.com
13.111.237.2, view.email.chipotle.com
148.62.4.102, cafirefighters.chipotle.com
151.101.131.10, chipotle.com
151.101.195.10, chipotle.com
151.101.219.10, cdn.adobeaemcloud.com
151.101.219.10, www.chipotle.com
151.101.3.10, chipotle.com
151.101.67.10, chipotle.com
162.242.140.216, socialportal.chipotle.com
166.78.186.75, facilities.chipotle.com
166.78.40.64, thankyou.chipotle.com
adobe-aem.map.fastly.net., cdn.adobeaemcloud.com
adobe-aem.map.fastly.net., www.chipotle.com
cdn.adobeaemcloud.com., www.chipotle.com
